titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
ALTERNANCE – Data Scientist & Soutien Statistiques F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-scientist-soutien-statistiques-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE - Ingénieur-e Data Analyst & Amélioration Continue F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-ingenieur-e-data-analyst-amelioration-continue-f-h_tarnos,2026-03-23,WTTJ,data,
Alternance Domaine Leader et Data - Domaine Achat F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-domaine-leader-et-data-domaine-achat-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE DATA SCIENTIST - Reporting Supply Chain F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-scientist-reporting-supply-chain-f-h_bordes_SAFRA_OV3GDQD,2026-03-23,WTTJ,data,
ALTERNANCE – Data Management des projets digitaux du processus DEVELOPPER F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-management-des-projets-digitaux-du-processus-developper-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-analyst-f-h_tarnos_SAFRA_N4Od8Ko,2026-03-23,WTTJ,data,
ALTERNANCE - Ingénieur-e Data Analyst - Méthodes / Prévisions F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-ingenieur-e-methodes-supply-chain-previsions-f-h_tarnos,2026-03-23,WTTJ,data,
Arenametrix recherche un(e)  Data integration manager en stage de fin d’études,Arenametrix,Stage,Paris,https://www.welcometothejungle.com/fr/companies/arenametrix/jobs/arenametrix-recherche-un-data-product-manager-en-stage-de-fin-d-etudes_paris,2026-03-23,WTTJ,data,
Analyste Data Marketing (F/H) en Alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/analyste-data-marketing-f-h-en-alternance_nanterre,2026-03-23,WTTJ,data,
ALTERNANCE - 2 ans - Assistant Chargé de projet MOA Data SIRH H/F,Credit Mutuel Arkea,Alternance,Le Relecq-Kerhuon,https://www.welcometothejungle.com/fr/companies/credit-mutuel-arkea/jobs/alternance-2-ans-assistant-charge-de-projet-moa-data-sirh-h-f_le-relecq-kerhuon,2026-03-23,WTTJ,data,
Data analyst - risques opérationnels (F/H) alternance,Axa,Alternance,Nanterre,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-analyst-risques-operationnels-f-h-alternance_nanterre,2026-03-23,WTTJ,data,
